Timestamp,Is LeBron James the greatest? ,Is Micheal Jordan the greatest? ,Age,How long have you been watching basketball
4/10/2025 11:35:08,Yes,No,17,5
4/10/2025 11:36:20,No,Yes,46,30
4/10/2025 11:37:01,Yes,No,14,7
4/10/2025 11:48:32,No,Yes,16,8
4/10/2025 11:48:38,Yes,Yes,16,3
4/10/2025 11:49:23,Yes,No,18,5
4/10/2025 11:49:23,Yes,Yes,16,2
4/10/2025 11:49:47,No,Yes,16,1
4/10/2025 11:50:15,No,No,17,1
4/10/2025 11:50:45,Yes,Yes,17,10
4/10/2025 11:51:37,No,No,17,1
4/10/2025 11:51:59,Yes,Yes,18,5
4/10/2025 11:52:02,No,No,16,8
4/10/2025 11:52:12,Yes,No,18,5
4/10/2025 11:52:15,Yes,No,18,7
4/10/2025 11:52:42,Yes,No,18,40
4/10/2025 11:52:55,Yes,No,19,1
4/10/2025 11:53:06,No,Yes,19,8
4/10/2025 11:59:42,Yes,No,45,36
4/10/2025 12:01:17,No,Yes,18,2
4/10/2025 12:07:13,No,No,16,12
4/10/2025 12:07:23,Yes,No,16,8
4/10/2025 12:07:27,Yes,No,16,16
4/10/2025 12:07:30,Yes,No,16,7
4/10/2025 12:08:01,No,No,16,1
4/10/2025 12:08:28,No,No,80,80
4/10/2025 12:11:54,Yes,Yes,37,25
4/10/2025 16:00:21,No,Yes,19,8
4/13/2025 21:29:11,No,Yes,39,20
4/13/2025 21:32:14,No,No,67,80
4/13/2025 21:36:09,No,Yes,17,10
4/13/2025 21:38:58,Yes,No,17,69
4/13/2025 21:39:41,No,No,18,18
4/13/2025 21:40:35,Yes,No,21,19
4/13/2025 21:48:45,Yes,Yes,18,12
4/13/2025 21:50:53,Yes,No,18,3
4/13/2025 21:51:57,Yes,No,17,15
4/13/2025 21:55:32,Yes,No,17,13
4/13/2025 21:55:58,No,No,2,2
4/13/2025 21:56:16,Yes,No,40,10
4/13/2025 22:42:27,Yes,No,20,7
4/13/2025 23:11:52,Yes,Yes,16,20
4/13/2025 23:40:19,Yes,Yes,17,2
4/14/2025 0:08:07,Yes,No,17,1
4/14/2025 11:15:58,Yes,No,17,12
4/14/2025 11:16:09,No,Yes,56,40
4/14/2025 11:16:23,Yes,No,18,13
4/14/2025 11:16:37,Yes,No,60,40
4/14/2025 11:16:49,Yes,No,15,10
4/14/2025 11:16:56,Yes,No,17,10
4/14/2025 11:17:17,Yes,No,23,17
4/14/2025 11:17:30,Yes,No,27,20
4/14/2025 11:17:41,Yes,No,15,7
4/14/2025 11:18:11,No,Yes,25,20
4/14/2025 11:18:21,No,Yes,51,40
4/14/2025 11:18:32,Yes,No,17,7
4/14/2025 11:18:40,Yes,No,17,5
4/14/2025 11:18:54,Yes,No,17,10
4/14/2025 11:19:04,No,Yes,37,30
4/14/2025 11:19:22,Yes,No,17,14
4/14/2025 11:19:42,Yes,No,44,30
4/14/2025 11:19:51,Yes,No,30,17
4/14/2025 11:20:05,No,Yes,17,10
4/14/2025 11:20:16,No,Yes,50,30
4/14/2025 11:20:38,Yes,No,17,10
4/14/2025 11:20:46,Yes,No,17,10
4/14/2025 11:20:54,No,Yes,30,15
4/14/2025 11:21:17,No,Yes,60,50
4/14/2025 11:21:55,Yes,No,56,40
4/14/2025 11:22:21,Yes,No,50,30
4/14/2025 11:25:25,Yes,No,18,14
4/14/2025 11:25:37,Yes,No,13,8
4/14/2025 11:41:34,Yes,No,17,10
4/14/2025 11:41:43,Yes,No,17,10
4/14/2025 11:42:03,Yes,No,70,50
4/14/2025 11:42:14,No,Yes,50,45
4/14/2025 11:42:24,No,Yes,19,14
4/14/2025 11:42:35,Yes,No,21,16
4/14/2025 11:42:54,No,Yes,54,30
4/14/2025 11:43:08,No,Yes,43,35
4/14/2025 11:44:38,No,Yes,17,13
4/14/2025 11:45:45,No,Yes,33,19
4/14/2025 12:13:08,Yes,No,16,1
4/15/2025 11:52:42,Yes,No,17,10
4/15/2025 11:53:10,No,Yes,54,44
4/15/2025 11:53:28,No,Yes,22,10
4/15/2025 11:53:50,Yes,No,18,11
4/15/2025 11:54:13,No,Yes,50,35
4/15/2025 11:54:35,No,Yes,54,40
4/15/2025 11:55:20,No,Yes,31,20
4/15/2025 11:56:03,Yes,No,15,5
4/15/2025 12:20:01,Yes,No,16,5
4/15/2025 12:20:55,Yes,No,16,6
4/15/2025 12:21:14,Yes,No,16,12
4/15/2025 12:21:32,Yes,No,16,10
4/15/2025 12:22:03,No,Yes,16,10
4/15/2025 12:22:29,Yes,No,17,7
4/15/2025 12:22:51,Yes,No,16,8
4/15/2025 12:23:54,No,Yes,16,7
4/15/2025 12:27:24,Yes,No,16,9
4/15/2025 12:28:05,Yes,No,48,40
4/15/2025 12:28:26,Yes,No,17,3
4/15/2025 12:28:58,Yes,No,17,5
4/15/2025 12:29:30,No,Yes,53,46
4/15/2025 12:30:01,Yes,No,53,40
4/15/2025 12:33:26,Yes,No,16,12
4/15/2025 12:33:51,No,No,71,16
4/15/2025 12:30:31,Yes,No,17,7
4/15/2025 12:41:04,Yes,No,17,7
4/15/2025 12:46:06,Yes,No,16,1
4/15/2025 13:05:05,Yes,Yes,17,10
4/15/2025 13:19:00,Yes,No,16,24
4/15/2025 13:22:42,Yes,No,17,9
4/15/2025 13:31:59,No,Yes,28,29
4/15/2025 13:36:04,Yes,No,67,67
4/15/2025 13:46:23,No,No,21,21
4/15/2025 13:49:12,Yes,No,17,10
4/15/2025 13:50:06,No,Yes,17,11
4/15/2025 14:02:12,Yes,No,16,5
4/15/2025 15:03:00,Yes,No,17,1
