Timestamp,LBJ,MJ,Age,Years
4/10/2025 11:35:08,Yes,No,17,5
4/10/2025 11:36:20,No,Yes,46,30
4/10/2025 11:37:01,Yes,No,14,7
4/10/2025 11:48:32,No,Yes,16,8
4/10/2025 11:48:38,Yes,Yes,16,3
4/10/2025 11:49:23,Yes,No,18,5
4/10/2025 11:49:23,Yes,Yes,16,2
4/10/2025 11:49:47,No,Yes,16,1
4/10/2025 11:50:15,No,No,17,1
4/10/2025 11:50:45,Yes,Yes,17,10
4/10/2025 11:51:37,No,No,17,1
4/10/2025 11:51:59,Yes,Yes,18,5
4/10/2025 11:52:02,No,No,16,8
4/10/2025 11:52:12,Yes,No,18,5
4/10/2025 11:52:15,Yes,No,18,7
4/10/2025 11:52:42,Yes,No,18,40
4/10/2025 11:52:55,Yes,No,19,1
4/10/2025 11:53:06,No,Yes,19,8
4/10/2025 11:59:42,Yes,No,45,36
4/10/2025 12:01:17,No,Yes,18,2
4/10/2025 12:07:13,No,No,16,12
4/10/2025 12:07:23,Yes,No,16,8
4/10/2025 12:07:27,Yes,No,16,16
4/10/2025 12:07:30,Yes,No,16,7
4/10/2025 12:08:01,No,No,16,1
4/10/2025 12:08:28,No,No,80,80
4/10/2025 12:11:54,Yes,Yes,37,25
4/10/2025 16:00:21,No,Yes,19,8
